CSCS2015,1
CV000666,2
CV000821,1
CV001074,4
CV001664,3
CV001665,4
CV001718,2
CV003321,2
CV003367,2
CV003581,2
CV003599,2
CV003600,2
CV003608,4
CV003609,2
CV003656,4
CV003675,5
CV003677,5
CV003744,4
CV003782,9
CV003794,2
CV003806,2
CV004087,1
CV004239,2
CV004240,2
DL000080,1
DO000038,1
EC000206,2
EC004763,4
EC005014,1
EO000254,1
EP200258,1
EREL0040,6
EREL0043,2
EV000219,1
EV000220,1
EV000221,1
EV000222,1
EV000460,1
EV001762,6
EV002360,4
EV002376,1
EV002924,3
EV002925,3
EV004163,5
EV004165,5
EV004428,5
EV005827,3
EV005828,3
EV005829,2
EV005830,2
EV006568,4
EV007216,3
EV007618,4
EV007619,6
EV007620,6
EV007621,2
EV007622,3
EV007623,6
EV008484,2
EV010277,4
EV014893,5
EV016680,3
EV017718,6
EV017719,3
EV017720,6
EV017721,4
EV017722,6
EV017723,3
EV017725,3
EV017726,4
EV017728,6
EV017729,6
EV017730,6
EV017731,6
GS000097,2
HE000843,1
HM000352,4
HM000396,10
HM001096,30
HM001308,34
HM001322,7
HM001582,2
HM001688,1
HM800134,13
HM810113,2
HM810130,10
HM810131,10
HW000603,9
HW001088,7
HY001253,3
HY001254,3
HY001366,1
IN051020,8
IN051035,3
JA260033,3
KE000792,3
KE000793,2
KE000794,4
KE000795,3
KE000973,2
KP000373,2
KP000374,1
KP001723,2
KP001724,2
KP001728,4
KP001981,1
KP001982,2
KP003113,1
KP004562,4
KP004823,1
KP004824,1
KP004825,1
KP004912,3
KP005375,1
KP005611,1
KP005612,1
KP005614,1
LU000208,1
LU000371,4
LU000485,8
LU000491,2
LU001253,3
LU002405,8
LU002505,4
LU002736,5
LU003405,9
LU003451,3
LU003773,7
LU003902,2
LU004107,6
LU100291,2
ME21D009,1
ME21D010,1
ME22C214,2
NT100717,32
NT100748,2
NT300077,7
PI001692,3
PI121658,10
PI122257,8
PI510243,3
PI510310,3
PI712861,12
PI717134,34
PI717223,14
PI772047,8
PI772969,10
PI800968,2
PIH00088,2
PIH00301,8
PIH00593,7
PIH00859,4
PIH00952,4
PIH01325,1
PIH01369,16
PIH01459,1
PIH01918,4
PK000145,10
PL000295,5
PL006364,1
PW010170,10
PW010182,10
PW010207,6
PW012022,3
PW012136,2
PW012759,5
PW013002,5
PW013022,2
PW013171,9
PW013242,36
PW013311,29
PW013441,31
PW013682,3
PW014001,3
PW014244,59
PW014281,5
PW014307,3
PW100606,7
PW100607,3
PW800111,6
PW800196,5
PW800217,14
PW800657,14
SF003231,7
ST264102,3
ST264103,4
ST264105,4
ST264106,4
ST264107,2
ST264108,2
ST264113,2
ST600547,3
SZAA0032,2
